latitude,longitude
40.64323,-8.64576
40.64319,-8.6459
40.64311,-8.64635
40.64307,-8.64655
40.64307,-8.64656
40.64307,-8.64657
40.64308,-8.64657
40.64308,-8.64658
40.64308,-8.64659
40.64308,-8.6466
40.64308,-8.64661
40.64308,-8.64662
40.64308,-8.64663
40.64308,-8.64664
40.64308,-8.64665
40.64308,-8.64666
40.64307,-8.64666
40.64307,-8.64667
40.64307,-8.64668
40.64306,-8.64668
40.64306,-8.64669
40.64305,-8.6467
40.64305,-8.64671
40.64304,-8.64671
40.64294,-8.64721
40.6429447,-8.6472099
40.6429447,-8.6472099
40.6429,-8.64742
40.64284,-8.6477
40.64283,-8.64771
40.6428,-8.64788
40.64276,-8.64807
40.6427577,-8.6480664
40.64276,-8.64808
40.64277,-8.64808
40.64277,-8.64809
40.64277,-8.6481
40.64277,-8.64811
40.64278,-8.64811
40.64278,-8.64812
40.64278,-8.64813
40.64278,-8.64814
40.64278,-8.64815
40.64278,-8.64816
40.64278,-8.64817
40.64278,-8.64818
40.64277,-8.64818
40.64277,-8.64819
40.6432,-8.64834
40.64365,-8.64852
40.643647,-8.6485174
40.64396,-8.64696
40.6439555,-8.6469613
40.64379,-8.6469
40.64341,-8.64678
40.64308,-8.64665
40.6430768,-8.6466509
40.64308,-8.64666
40.64307,-8.64666
40.64307,-8.64667
40.64307,-8.64668
40.64306,-8.64668
40.64306,-8.64669
40.64305,-8.6467
40.64305,-8.64671
40.64304,-8.64671
40.64304,-8.64672
40.64303,-8.64672
40.64302,-8.64673
40.64301,-8.64673
40.643,-8.64673
40.64299,-8.64673
40.64298,-8.64673
40.64297,-8.64673
40.64296,-8.64673
40.64296,-8.64672
40.64295,-8.64672
40.64294,-8.64671
40.64293,-8.6467
40.64293,-8.64669
40.64292,-8.64669
40.64292,-8.64668
40.64291,-8.64667
40.64291,-8.64666
40.64291,-8.64665
40.6429,-8.64664
40.6429,-8.64663
40.6429,-8.64662
40.6429,-8.64661
40.6429,-8.6466
40.6429,-8.64659
40.6429044,-8.6465923
40.6429044,-8.6465923
40.64291,-8.64659
40.64291,-8.64658
40.64291,-8.64657
40.64291,-8.64656
40.64292,-8.64655
40.64292,-8.64654
40.64293,-8.64653
40.64294,-8.64652
40.64295,-8.64651
40.64296,-8.64651
40.64296,-8.6465
40.64297,-8.6465
40.64298,-8.6465
40.64299,-8.6465
40.643,-8.6465
40.64301,-8.6465
40.64302,-8.6465
40.64302,-8.64651
40.64303,-8.64651
40.64304,-8.64651
40.64304,-8.64652
40.64305,-8.64652
40.64305,-8.64653
40.64306,-8.64653
40.64306,-8.64654
40.64307,-8.64655
40.64307,-8.64656
40.64307,-8.64657
40.64308,-8.64657
40.64308,-8.64658
40.64308,-8.64659
40.64308,-8.6466
40.64308,-8.64661
40.64308,-8.64662
40.64308,-8.64663
40.64308,-8.64664
40.64308,-8.64665
40.64308,-8.64666
40.64307,-8.64666
40.64307,-8.64667
40.64307,-8.64668
40.64306,-8.64668
40.64306,-8.64669
40.64305,-8.6467
40.64305,-8.64671
40.64304,-8.64671
40.6430432,-8.6467112
40.6429,-8.64742
40.64284,-8.6477
40.64283,-8.64771
40.6428,-8.64788
40.64276,-8.64807
40.64276,-8.64808
40.64277,-8.64808
40.64277,-8.64809
40.64277,-8.6481
40.64277,-8.64811
40.64278,-8.64811
40.64278,-8.64812
40.64278,-8.64813
40.64278,-8.64814
40.64278,-8.64815
40.64278,-8.64816
40.64278,-8.64817
40.64278,-8.64818
40.64277,-8.64818
40.64277,-8.64819
40.64277,-8.6482
40.64276,-8.64821
40.64276,-8.64822
40.64275,-8.64822
